,Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Year,Final credit score,Credit Group
21,SIS DIGITAL MEDIA LIMITED,No,No,No,No,No,WC2N 6JU,8667253,73110,31/12/2017,"Active, in administration",2021,Secure,0.9,500,2019,Secure,SIS DIGITAL VISION LIMITED,10,21.54,15,12.88,1.6,1.04,5.41,2,2.27,4.87,12.34,33.36,1.85,3.58,1.71,213.74,1.0,1.09,1.09,1.49,7.44,8.04,820.02,"156,202",0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
22,HOWARD CONTRACTORS LIMITED,No,No,No,No,No,BS1 6FL,4536413,41201,30/06/2017,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MR ANDREW HOWARD,5,1.0,25,15.42,7.44,1.59,9.01,1,1.62,2.04,1.4,32.99,53.41,40.38,8.95,40.78,66.04,0.85,0.74,-1.09,-5.3,1.0,0.0,"5,021",0,-1.0,0.0,0.0,0.0,-1.0,2016,99.0,3
23,PH REALISATIONS 2020 LIMITED,No,No,No,No,No,SP3 4UF,8422119,77291,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,PH REALISATIONS 2020 LIMITED,22,8.07,19,0.38,0.2,0.24,69.84,1,5.76,28.18,1.62,1.15,1.04,73.63,6.47,56.45,42.89,0.54,0.52,0.05,2.5,2.56,0.0,229,"2,835",4.0,-1.0,-9.0,5.0,-1.0,2016,99.0,3
24,DOLFIN FINANCIAL (UK) LTD,No,No,No,No,No,EC2R 6AY,7431519,82990,31/12/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,DOLFIN GROUP LTD,6,8.98,8,8.98,6.12,4.49,1.0,1,3.67,3.73,2.0,33.23,1.0,3.58,221.14,1.65,9.68,3.01,3.01,0.0,68.1,1.0,34.42,"8,976","99,949",-2.0,0.0,0.0,1.0,0.0,2016,99.0,3
25,BAM PARENTCO (2) LIMITED,No,No,No,No,No,EC4N 6EU,9176133,64209,30/09/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MR TIMOTHY JAMES BOLOT,41,1.0,14,41.02,-3.02,-8.66,27.09,1,2.36,6.1,1.4,0.37,0.21,3.58,13.35,27.35,7.12,0.06,0.06,0.0,-7.4,1.0,0.0,"-2,536",0,2.0,-2.0,0.0,-1.0,0.0,2016,99.0,3
26,KAREN MILLEN RETAIL LIMITED,No,No,No,No,No,B3 3HN,6822157,70100,24/02/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,KAREN MILLEN HOLDCO 1 LIMITED,8,1.0,19,15.42,0.21,100.0,100.0,1,0.65,2.61,38.25,15.3,1.0,3.58,4.27,1.13,1.0,0.89,0.89,-0.56,-8.2,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
27,CLARENDON ENTERPRISE CENTRE LIMITED,No,No,No,No,No,M3 5EN,3465358,68320,30/11/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,THE CLARENDON OFFICE GROUP LTD.,8,111.43,10,47.92,39.26,30.36,97.43,1,30.36,37.31,1.58,3.25,1.0,3.58,175.53,2.08,4.72,3.33,3.33,0.75,35.23,54.4,132.51,"85,383","76,626",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
28,ROBERTS JACKSON LIMITED,No,No,No,No,No,BN1 4EA,6895109,69102,31/07/2016,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,14,53.24,13,51.77,9.76,10.27,99.42,1,13.97,16.09,5.04,53.42,3.77,135.2,1.7,215.28,11.53,1.21,1.2,35.22,18.32,22.43,305.68,"7,021","13,187",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
29,DINING STREET LIMITED,No,No,No,No,No,EC4M 7QS,3517191,56101,30/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,DINING STREET LIMITED,9,-170.17,16,-152.39,-87.75,-50.27,-1.13,0,-50.32,-6.23,3.03,5.03,1.0,67.27,579.13,0.63,33.07,1.54,1.48,8.57,51.57,1.0,11.66,"-22,850","13,428",0.0,0.0,0.0,2.0,-1.0,2016,99.0,3
30,PT REALISATIONS 2020 LIMITED,No,No,No,No,No,SP3 4UF,2370730,77291,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,PH REALISATIONS 2020 LIMITED,12,-22.1,11,-11.82,-4.79,-5.29,57.22,1,-2.97,20.72,2.23,1.4,-1.28,166.27,5.43,67.17,54.96,0.59,0.58,1.15,21.68,27.68,272.55,"-4,116","18,622",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
31,DHAIS LIMITED,No,No,No,No,No,M1 4PB,4228169,47741,04/01/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,JARVIS SECURITIES PLC,4,-130.29,12,-18.43,-8.17,-2.99,57.61,1,-2.0,0.55,6.16,4.68,-2.03,21.63,22.12,16.5,47.8,0.75,0.52,0.16,6.27,6.69,695.24,"-2,985","2,291",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
32,BARRY WOOD PLANT HIRE LIMITED,No,No,No,No,No,BN1 2NW,2997389,43999,31/10/2017,"Active, in administration",2021,Secure,0.9,500,2019,Secure,SUSTAINABLE QUARRYING AND TANKER SERVICES GROUP LTD,13,-0.11,8,-0.09,-0.07,-0.11,8.88,1,0.98,10.94,0.82,1.9,0.9,3.58,5.16,70.67,23.56,3.5,3.5,4.54,66.73,1.0,39.28,-140,"127,103",1.0,0.0,-2.0,1.0,0.0,2016,99.0,3
